date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-08-13,TRADED,5,0,3,2,5,0,0,0,5,0,-732.98,-146.60,-2.58,-281.98,0,5,732.98,
2025-08-14,TRADED,3,0,1,2,3,0,0,1,2,0,1910.96,636.99,2233.04,-230.82,1,2,322.08,
2025-08-15,TRADED,6,0,5,1,6,0,0,1,5,0,1927.29,321.21,2461.08,-192.43,1,5,533.79,
2025-08-16,TRADED,4,0,2,2,4,0,0,1,3,0,-384.80,-96.20,36.52,-206.33,1,3,421.32,
2025-08-17,TRADED,6,0,2,4,6,0,0,1,5,0,-374.38,-62.40,189.54,-335.67,1,3,410.10,
2025-08-18,TRADED,4,0,2,2,4,0,0,1,3,0,514.38,128.59,1174.05,-407.97,1,2,615.53,
2025-08-19,TRADED,5,0,3,2,5,0,0,0,5,0,-2370.14,-474.03,-20.22,-925.30,0,5,2370.14,
2025-08-20,TRADED,11,0,7,4,11,0,0,1,10,0,-402.02,-36.55,1305.84,-775.00,1,10,1707.86,
2025-08-21,TRADED,6,0,2,4,6,0,0,0,6,0,-1025.82,-170.97,-50.03,-395.14,0,6,1025.82,
2025-08-22,TRADED,9,0,5,4,9,0,0,1,8,0,-1069.23,-118.80,170.67,-257.01,1,8,1239.90,
2025-08-23,TRADED,1,0,1,0,1,0,0,0,1,0,-169.22,-169.22,-169.22,-169.22,0,1,169.22,
2025-08-24,TRADED,3,0,1,2,3,0,0,1,2,0,-51.41,-17.14,81.64,-85.67,1,2,133.05,
2025-08-25,TRADED,4,0,3,1,4,0,0,1,3,0,2296.16,574.04,2389.87,-64.22,1,3,93.71,
2025-08-26,TRADED,4,0,0,4,4,0,0,1,3,0,-770.78,-192.69,72.41,-465.28,1,3,843.19,
2025-08-27,TRADED,7,0,3,4,7,0,0,2,5,0,-502.33,-71.76,511.85,-884.81,1,3,890.43,
2025-08-28,TRADED,10,0,2,8,10,0,0,1,9,0,-921.93,-92.19,393.67,-522.21,1,5,921.93,
2025-08-29,TRADED,2,0,1,1,2,0,0,0,2,0,-170.29,-85.15,-53.64,-116.65,0,2,170.29,
2025-08-30,TRADED,6,0,3,3,6,0,0,1,5,0,2907.91,484.65,3541.70,-255.11,1,5,633.79,
2025-08-31,TRADED,9,0,5,4,9,0,0,1,8,0,-600.22,-66.69,195.66,-271.04,1,8,795.88,
2025-09-01,TRADED,9,0,7,2,9,0,0,0,9,0,-1898.98,-211.00,-8.20,-859.39,0,9,1898.98,
2025-09-02,TRADED,3,0,1,2,3,0,0,1,2,0,-1230.45,-410.15,236.63,-810.70,1,1,1230.45,
2025-09-03,TRADED,4,0,2,2,4,0,0,1,3,0,-549.58,-137.39,0.60,-420.09,1,3,550.18,
2025-09-04,TRADED,3,0,1,2,3,0,0,2,1,0,488.71,162.90,481.08,-131.20,1,1,131.20,
2025-09-05,TRADED,7,0,5,2,7,0,0,1,6,0,-1962.04,-280.29,100.85,-888.41,1,3,1962.04,
2025-09-06,TRADED,1,0,0,1,1,0,0,0,1,0,-281.74,-281.74,-281.74,-281.74,0,1,281.74,
2025-09-07,TRADED,5,0,2,3,5,0,0,1,4,0,29.78,5.96,212.13,-122.78,1,4,182.35,
2025-09-08,TRADED,6,0,2,4,6,0,0,1,5,0,-287.83,-47.97,214.04,-192.79,1,5,501.87,
2025-09-09,TRADED,4,0,3,1,4,0,0,2,2,0,345.79,86.45,538.07,-237.45,1,2,328.61,
2025-09-10,TRADED,2,0,1,1,2,0,0,0,2,0,-74.71,-37.36,-17.71,-57.00,0,2,74.71,
2025-09-11,TRADED,3,0,3,0,3,0,0,1,2,0,668.68,222.89,1403.32,-670.05,1,2,734.64,
