target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
2,equity,ITC_NS,2026-04-29,INVERSE_BUY,BUY,SHORT,2026-04-29T09:15:00+05:30,2026-04-29T09:20:00+05:30,307.25,307.288536,308.173585,305.40283,306.326415,305.40283,304.479246,303.555661,302.632076,0.615723,0.923585,305.114014,304.91082,306.883331,74.671,0.135941,-0.007728,23.739,493351.0,184363.9,85.71,0.0,STRONG BULL,325,99868.77,307.67,0,1,2026-04-29T09:20:00+05:30,308.23522,STOP_LOSS,-307.67,60.01,-367.69,-0.3682,-1.1951
2,equity,KOTAKBANK_NS,2026-04-01,INVERSE_BUY,BUY,SHORT,2026-04-01T12:30:00+05:30,2026-04-01T12:35:00+05:30,359.450012,359.17815,360.944949,356.460138,357.955075,356.460138,354.965201,353.470264,351.975326,0.996625,1.494937,358.859886,358.85852,359.116578,51.1196,-0.181732,-0.384554,22.7321,239890.0,354001.8,71.43,0.0,STRONG BULL,278,99851.53,511.24,1,13,2026-04-01T13:35:00+05:30,357.721524,OPPOSITE_SIGNAL,404.94,59.79,345.15,0.3457,0.6751
2,equity,KOTAKBANK_NS,2026-04-01,INVERSE_SELL,SELL,LONG,2026-04-01T13:30:00+05:30,2026-04-01T13:35:00+05:30,357.75,357.721524,356.36629,360.51742,359.13371,360.51742,361.90113,363.28484,364.66855,0.922473,1.38371,358.883528,359.025967,359.148998,38.2939,-0.117635,-0.008128,15.8523,223169.0,292180.85,0.0,71.43,STRONG BEAR,279,99804.31,398.0,0,2,2026-04-01T13:40:00+05:30,356.295017,STOP_LOSS,-398.0,59.76,-457.76,-0.4587,-1.1501
2,equity,KOTAKBANK_NS,2026-04-02,INVERSE_BUY,BUY,SHORT,2026-04-02T12:10:00+05:30,2026-04-02T12:15:00+05:30,349.200012,349.030186,350.416503,346.767032,347.983522,346.767032,345.550541,344.334051,343.117561,0.810994,1.21649,348.801966,348.790656,348.008581,51.5355,-0.23886,-0.493564,18.302,101505.0,221804.85,71.43,0.0,STRONG BULL,286,99822.63,416.53,0,5,2026-04-02T12:35:00+05:30,350.486586,STOP_LOSS,-416.53,60.02,-476.55,-0.4774,-1.1441
2,equity,KOTAKBANK_NS,2026-04-06,INVERSE_SELL,SELL,LONG,2026-04-06T09:20:00+05:30,2026-04-06T09:25:00+05:30,350.549988,350.620098,348.11845,355.413063,352.981525,355.413063,357.8446,360.276138,362.707675,1.621025,2.431537,355.038176,355.060685,351.0,34.8884,0.486527,1.206228,36.837,686370.0,481185.5,0.0,100.0,STRONG BEAR,285,99926.73,732.81,1,32,2026-04-06T12:00:00+05:30,353.079364,OPPOSITE_SIGNAL,700.89,60.17,640.72,0.6412,0.8743
2,equity,KOTAKBANK_NS,2026-04-06,INVERSE_BUY,BUY,SHORT,2026-04-06T11:55:00+05:30,2026-04-06T12:00:00+05:30,353.149994,353.079364,354.503286,350.443409,351.796701,350.443409,349.090117,347.736824,346.383532,0.902195,1.353292,352.545159,352.526177,352.178669,54.4592,-0.103145,-0.279046,11.4981,133112.0,153603.95,71.43,0.0,STRONG BULL,283,99921.46,423.03,0,5,2026-04-06T12:20:00+05:30,354.574187,STOP_LOSS,-423.03,60.08,-483.11,-0.4835,-1.142
2,equity,KOTAKBANK_NS,2026-04-07,INVERSE_SELL,SELL,LONG,2026-04-07T10:30:00+05:30,2026-04-07T10:35:00+05:30,359.5,359.471874,357.701222,363.097556,361.298778,363.097556,364.896334,366.695112,368.49389,1.199185,1.798778,359.859661,359.890827,360.257397,48.2619,0.144537,0.343345,18.3553,94964.0,410594.1,0.0,71.43,STRONG BEAR,278,99933.18,512.13,0,6,2026-04-07T11:00:00+05:30,357.629682,STOP_LOSS,-512.13,59.81,-571.94,-0.5723,-1.1168
2,equity,KOTAKBANK_NS,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T11:35:00+05:30,2026-04-07T11:40:00+05:30,360.299988,360.327914,361.765275,357.369413,358.8347,357.369413,355.904125,354.438838,352.97355,0.976858,1.465288,359.657853,359.582623,359.85631,56.3722,0.045886,-0.051911,13.9586,140693.0,393026.05,71.43,0.0,STRONG BULL,277,99810.83,418.19,0,17,2026-04-07T13:00:00+05:30,359.0718,OPPOSITE_SIGNAL,347.94,59.78,288.16,0.2887,0.6891
2,equity,KOTAKBANK_NS,2026-04-07,INVERSE_SELL,SELL,LONG,2026-04-07T12:55:00+05:30,2026-04-07T13:00:00+05:30,359.100006,359.0718,358.011469,361.277081,360.188543,361.277081,362.365618,363.454156,364.542693,0.725692,1.088537,360.01444,360.069849,359.933636,40.383,0.030939,0.159944,14.6328,243591.0,148251.45,0.0,85.71,STRONG BEAR,278,99821.96,314.68,1,9,2026-04-07T13:40:00+05:30,360.9278,OPPOSITE_SIGNAL,515.97,60.05,455.92,0.4567,1.4488
2,equity,KOTAKBANK_NS,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T13:35:00+05:30,2026-04-07T13:40:00+05:30,361.0,360.9278,362.095368,358.809264,359.904632,358.809264,357.713896,356.618528,355.52316,0.730245,1.095368,360.107285,360.008952,359.920967,60.2668,0.069055,-0.01027,15.4019,88978.0,122330.5,71.43,0.0,STRONG BULL,277,99977.0,343.48,1,16,2026-04-07T14:55:00+05:30,362.167787,STOP_LOSS,-343.48,60.09,-403.57,-0.4037,-1.1749
