period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2024-06,30,2,0,0,172,0,91,81,172,0,0,9,19,0,-2546.45,-90.94,-35519.32,-1268.55,1864606.33,2024-06-25,2584.11,39698.56,2024-06-06,-1428.27,-20071.13,3,8,5884.15,87096.08,4.5837
2024-07,31,6,0,0,137,0,72,65,137,0,0,13,12,0,5050.12,202.00,85891.62,3435.66,1950498.02,2024-07-04,3633.87,57750.85,2024-07-11,-1750.55,-30290.12,3,4,4667.16,69333.69,3.4976
2024-08,31,1,0,0,148,0,78,70,148,0,0,14,16,0,2219.24,73.97,31394.31,1046.48,1981892.35,2024-08-28,3729.50,57309.96,2024-08-30,-2279.21,-38671.84,2,3,4480.02,76301.02,3.7584
2024-09,30,3,0,0,149,0,66,83,149,0,0,11,16,0,-76.95,-2.85,1183.96,43.85,1983076.30,2024-09-28,2116.32,33363.88,2024-09-11,-1862.56,-33200.66,3,6,3317.82,54814.35,2.7203
2024-10,31,4,0,0,156,1,81,75,155,1,0,13,14,0,2512.24,93.05,41068.02,1521.04,2024144.37,2024-10-30,3816.56,58278.37,2024-10-03,-1418.34,-23246.28,2,2,2612.83,42321.18,2.1034
2024-11,30,2,0,0,178,0,87,91,178,0,0,12,16,0,-2370.00,-84.64,-4269.36,-152.48,2019874.94,2024-11-07,5316.08,79346.40,2024-11-18,-4007.26,-44016.13,3,4,12429.68,137640.69,6.5207
2024-12,31,0,0,0,176,0,80,96,176,0,0,10,21,0,-6179.70,-199.35,-67092.75,-2164.28,1952782.18,2024-12-05,4076.30,42580.02,2024-12-02,-2935.64,-30760.47,3,5,8517.82,85597.23,4.2377
2025-01,31,4,0,0,169,0,89,80,169,0,0,8,19,0,-10195.72,-377.62,-94930.59,-3515.95,1857851.62,2025-01-09,6499.89,64356.88,2025-01-20,-4354.51,-40795.96,2,4,14850.08,140079.87,7.0112
2025-02,28,3,0,0,141,0,65,76,141,0,0,9,16,0,2672.62,106.90,27202.96,1088.12,1885054.56,2025-02-03,5944.40,58284.81,2025-02-13,-2455.22,-25259.03,2,8,10253.18,105691.07,5.5098
2025-03,31,2,0,0,169,0,88,81,169,0,0,13,16,0,-1055.38,-36.39,-14746.18,-508.49,1870308.39,2025-03-03,5031.03,57553.88,2025-03-07,-9430.48,-107632.60,3,3,15560.56,179696.93,8.8926
2025-04,30,1,0,0,170,0,95,75,170,0,0,9,20,0,-570.20,-19.66,2021.46,69.71,1872329.89,2025-04-23,4195.07,48448.71,2025-04-14,-3258.24,-38368.57,1,5,6529.77,77244.07,3.9903
2025-05,31,4,0,0,158,0,82,76,158,0,0,9,18,0,-6260.27,-231.86,-57243.36,-2120.12,1815086.51,2025-05-09,4054.42,42486.80,2025-05-12,-2935.52,-28165.75,3,8,14939.39,142915.50,7.4634
2025-06,30,3,0,0,178,0,98,80,178,0,0,9,18,0,-5553.59,-205.69,-50818.53,-1882.17,1764267.93,2025-06-26,4136.21,40729.10,2025-06-19,-2329.55,-22270.52,3,5,6573.86,62434.08,3.4397
2025-07,31,1,0,0,166,0,90,76,166,0,0,12,18,0,-456.85,-15.23,1751.30,58.38,1766019.20,2025-07-11,6057.05,54411.99,2025-07-30,-2938.37,-24863.37,2,5,11918.60,100601.94,5.3895
2025-08,31,2,0,0,160,0,78,82,160,0,0,8,21,0,4311.39,148.67,34356.86,1184.72,1800376.07,2025-08-03,4478.81,38044.33,2025-08-19,-2370.14,-20455.39,2,7,5401.82,47974.74,2.6242
2025-09,30,2,0,0,148,0,81,67,148,0,0,11,17,0,-1648.67,-58.88,-15635.94,-558.43,1784740.12,2025-09-30,3766.57,34437.97,2025-09-15,-2147.74,-18600.75,2,5,8933.92,79570.54,4.4197
2025-10,31,3,0,0,145,1,79,66,144,1,0,15,13,0,11575.49,413.41,99595.30,3556.98,1884335.40,2025-10-12,7925.68,65061.41,2025-10-15,-2251.15,-19972.24,3,3,4852.02,44627.60,2.3740
2025-11,30,2,0,0,167,0,90,77,167,0,0,10,18,0,-715.43,-25.55,-18113.76,-646.92,1866221.69,2025-11-21,5393.63,58962.40,2025-11-22,-3602.18,-42665.65,2,4,7444.31,84742.04,4.3816
2025-12,31,1,0,0,146,0,81,65,146,0,0,14,16,0,940.72,31.36,10811.16,360.37,1877032.81,2025-12-03,4836.85,56463.18,2025-12-17,-3415.91,-38455.24,3,6,10247.38,116249.59,5.8862
2026-01,31,3,0,0,161,0,80,81,161,0,0,11,17,0,1290.67,46.10,11571.80,413.28,1888604.55,2026-01-30,4594.21,50567.48,2026-01-27,-1965.74,-22385.91,2,5,6251.88,71208.86,3.7194
2026-02,28,4,0,0,124,0,60,64,124,0,0,12,12,0,16767.40,698.64,221634.39,9234.77,2110238.96,2026-02-06,9915.87,130380.58,2026-02-17,-1933.32,-28701.57,4,5,8007.81,115943.66,5.5494
2026-03,31,5,0,0,153,0,82,71,153,0,0,12,14,0,4772.23,183.55,62448.03,2401.85,2172687.03,2026-03-08,4384.59,59550.74,2026-03-31,-2429.76,-36243.84,4,3,3862.34,57888.12,2.6384
2026-04,30,1,0,0,155,0,69,86,155,0,0,11,18,0,-206.37,-7.12,-1041.31,-35.91,2171645.67,2026-04-14,2216.63,31143.44,2026-04-16,-1669.19,-22537.94,2,4,3625.57,48848.81,2.2249
2026-05,10,1,0,0,38,1,19,19,36,1,1,5,4,0,588.50,65.39,8535.26,948.36,2180180.93,2026-05-02,2064.85,27208.65,2026-05-06,-1276.66,-15694.97,2,2,1791.47,22317.95,1.0150
