period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2025-04,30,0,0,0,372,0,204,168,323,49,0,0,13,17,0,-2056.70,-68.56,-17761.62,-592.05,1037052.92,2025-04-01,1867.83,22445.06,2025-04-14,-2377.90,-28120.36,4,6,7574.39,85425.73,7.6105
2025-05,31,0,0,0,358,0,184,174,302,56,0,0,15,16,0,-1284.50,-41.44,-11579.54,-373.53,1025473.38,2025-05-19,2338.55,22416.29,2025-05-11,-2260.22,-21691.16,3,4,7680.70,74201.89,7.0569
2025-06,30,2,0,0,386,0,194,192,327,59,0,0,13,15,0,-1139.60,-40.70,-9338.18,-333.51,1016135.26,2025-06-12,2692.67,24809.95,2025-06-19,-2542.56,-24268.46,5,4,6437.32,61212.14,5.8933
2025-07,31,1,0,0,362,0,189,173,301,61,0,0,19,11,0,5232.61,174.42,49643.83,1654.79,1065779.01,2025-07-15,4115.04,34494.44,2025-07-17,-2574.28,-21656.95,11,8,9250.07,78057.51,6.8532
2025-08,31,1,0,0,365,0,179,186,316,49,0,0,16,14,0,320.33,10.68,364.52,12.15,1066143.49,2025-08-24,3206.15,27993.75,2025-08-20,-2428.46,-21376.60,3,3,6727.38,58775.59,5.2564
2025-09,30,0,1,0,347,0,188,159,296,51,0,0,12,17,0,-1594.97,-55.00,-14182.15,-489.04,1051961.35,2025-09-11,2304.03,20498.82,2025-09-15,-1785.75,-15462.35,3,5,4550.39,39414.97,3.6452
2025-10,31,2,0,0,326,1,173,153,270,55,1,0,17,12,0,6224.05,214.62,59292.17,2044.56,1111253.56,2025-10-29,2613.41,23087.11,2025-10-13,-3314.87,-28900.05,8,3,10082.95,85751.31,7.9298
2025-11,30,0,1,0,396,0,199,197,341,55,0,0,14,15,0,-2159.84,-74.48,-31369.53,-1081.71,1079884.06,2025-11-11,2576.47,24475.92,2025-11-22,-4221.77,-50047.75,5,3,7460.68,84196.94,7.2329
2025-12,31,0,0,0,313,0,168,145,253,60,0,0,17,14,0,15434.84,497.90,171832.46,5542.98,1251716.49,2025-12-29,3256.88,36968.94,2025-12-16,-1059.59,-12196.92,4,4,2305.18,26328.05,2.2190
2026-01,31,0,0,0,342,0,168,174,293,49,0,0,16,15,0,2109.15,68.04,22745.03,733.71,1274461.38,2026-01-25,2858.02,32184.95,2026-01-23,-2327.54,-26012.48,2,4,4342.71,46717.72,3.5802
2026-02,28,1,1,0,280,0,138,142,243,37,0,0,15,11,0,4134.86,159.03,52423.70,2016.30,1326885.04,2026-02-23,2740.64,40928.55,2026-02-09,-2174.16,-30994.08,5,5,10325.56,150126.18,10.9277
2026-03,31,0,1,0,334,0,183,151,295,39,0,0,14,16,0,-4388.67,-146.29,-65785.03,-2192.83,1261100.08,2026-03-27,1620.92,23579.07,2026-03-12,-2488.65,-35455.64,4,4,5683.87,81761.48,6.1619
2026-04,30,1,0,0,336,0,164,172,289,47,0,0,14,15,0,143.25,4.94,6286.83,216.79,1267386.90,2026-04-05,1381.93,20478.35,2026-04-15,-1780.71,-23973.41,4,5,4518.76,59481.09,4.5262
2026-05,10,0,0,0,83,1,50,33,64,18,0,1,7,3,0,2711.32,271.13,35064.68,3506.47,1302451.56,2026-05-01,1726.09,22628.61,2026-05-06,-1200.53,-14716.68,3,1,1200.53,14716.68,1.1226
