trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00155,2021-06-13,2021-06-13 03:30:00+00:00,SHORT,11226.64,-58209.51,941790.49,1018599.28,76808.79,7.5406
T00156,2021-06-13,2021-06-13 09:00:00+00:00,SHORT,-4496.91,-62706.42,937293.58,1018599.28,81305.70,7.9821
T00157,2021-06-13,2021-06-13 09:30:00+00:00,LONG,-2142.66,-64849.08,935150.92,1018599.28,83448.36,8.1925
T00158,2021-06-13,2021-06-13 10:00:00+00:00,SHORT,-75.30,-64924.38,935075.62,1018599.28,83523.66,8.1999
T00159,2021-06-13,2021-06-13 16:30:00+00:00,LONG,12454.47,-52469.91,947530.09,1018599.28,71069.19,6.9771
T00160,2021-06-14,2021-06-14 20:00:00+00:00,LONG,3661.64,-48808.27,951191.73,1018599.28,67407.55,6.6177
T00161,2021-06-15,2021-06-15 02:30:00+00:00,LONG,11508.06,-37300.21,962699.79,1018599.28,55899.49,5.4879
T00162,2021-06-15,2021-06-15 10:00:00+00:00,LONG,-84.77,-37384.98,962615.02,1018599.28,55984.26,5.4962
T00163,2021-06-15,2021-06-15 10:30:00+00:00,SHORT,-914.89,-38299.87,961700.13,1018599.28,56899.15,5.5860
T00164,2021-06-15,2021-06-15 13:00:00+00:00,SHORT,-4736.27,-43036.14,956963.86,1018599.28,61635.42,6.0510
T00165,2021-06-15,2021-06-15 13:30:00+00:00,LONG,-4667.47,-47703.62,952296.38,1018599.28,66302.90,6.5092
T00166,2021-06-15,2021-06-15 14:00:00+00:00,LONG,-738.35,-48441.97,951558.03,1018599.28,67041.25,6.5817
T00167,2021-06-15,2021-06-15 14:30:00+00:00,LONG,-1626.98,-50068.95,949931.05,1018599.28,68668.23,6.7414
T00168,2021-06-15,2021-06-15 16:30:00+00:00,SHORT,-3638.45,-53707.41,946292.59,1018599.28,72306.69,7.0986
T00169,2021-06-15,2021-06-15 17:00:00+00:00,SHORT,-2388.43,-56095.84,943904.16,1018599.28,74695.12,7.3331
T00170,2021-06-15,2021-06-15 17:30:00+00:00,LONG,-572.18,-56668.02,943331.98,1018599.28,75267.30,7.3893
T00171,2021-06-15,2021-06-15 18:00:00+00:00,LONG,5706.38,-50961.64,949038.36,1018599.28,69560.92,6.8291
T00172,2021-06-15,2021-06-15 20:00:00+00:00,SHORT,8187.85,-42773.78,957226.22,1018599.28,61373.06,6.0252
T00173,2021-06-15,2021-06-15 23:30:00+00:00,SHORT,-1788.88,-44562.66,955437.34,1018599.28,63161.94,6.2009
T00174,2021-06-16,2021-06-16 00:00:00+00:00,LONG,-1307.04,-45869.70,954130.30,1018599.28,64468.98,6.3292
T00175,2021-06-16,2021-06-16 00:30:00+00:00,SHORT,5034.78,-40834.92,959165.08,1018599.28,59434.20,5.8349
T00176,2021-06-16,2021-06-16 03:30:00+00:00,SHORT,6752.32,-34082.60,965917.40,1018599.28,52681.88,5.1720
T00177,2021-06-16,2021-06-16 05:00:00+00:00,SHORT,-3325.44,-37408.04,962591.96,1018599.28,56007.32,5.4985
T00178,2021-06-16,2021-06-16 08:00:00+00:00,LONG,-3041.89,-40449.93,959550.07,1018599.28,59049.21,5.7971
T00179,2021-06-16,2021-06-16 08:30:00+00:00,SHORT,-269.57,-40719.50,959280.50,1018599.28,59318.78,5.8236
T00180,2021-06-16,2021-06-16 10:00:00+00:00,SHORT,-2824.36,-43543.86,956456.14,1018599.28,62143.14,6.1008
T00181,2021-06-16,2021-06-16 11:30:00+00:00,SHORT,12870.65,-30673.21,969326.79,1018599.28,49272.49,4.8373
T00182,2021-06-17,2021-06-17 06:30:00+00:00,SHORT,-2582.67,-33255.88,966744.12,1018599.28,51855.16,5.0908
T00183,2021-06-17,2021-06-17 07:30:00+00:00,LONG,6133.01,-27122.87,972877.13,1018599.28,45722.15,4.4887
T00184,2021-06-17,2021-06-17 14:30:00+00:00,SHORT,-2471.33,-29594.20,970405.80,1018599.28,48193.48,4.7313
T00185,2021-06-17,2021-06-17 15:00:00+00:00,SHORT,-774.57,-30368.77,969631.23,1018599.28,48968.05,4.8074
T00186,2021-06-17,2021-06-17 15:30:00+00:00,LONG,-1189.15,-31557.92,968442.08,1018599.28,50157.20,4.9241
T00187,2021-06-17,2021-06-17 16:00:00+00:00,LONG,1025.14,-30532.78,969467.22,1018599.28,49132.06,4.8235
T00188,2021-06-18,2021-06-18 13:30:00+00:00,SHORT,14874.73,-15658.05,984341.95,1018599.28,34257.33,3.3632
T00189,2021-06-19,2021-06-19 12:00:00+00:00,SHORT,-1087.69,-16745.74,983254.26,1018599.28,35345.02,3.4700
T00190,2021-06-19,2021-06-19 12:30:00+00:00,LONG,-480.29,-17226.03,982773.97,1018599.28,35825.31,3.5171
T00191,2021-06-19,2021-06-19 13:30:00+00:00,SHORT,-3106.07,-20332.11,979667.89,1018599.28,38931.39,3.8221
T00192,2021-06-19,2021-06-19 14:00:00+00:00,LONG,-892.32,-21224.43,978775.57,1018599.28,39823.71,3.9097
T00193,2021-06-19,2021-06-19 14:30:00+00:00,SHORT,-568.39,-21792.82,978207.18,1018599.28,40392.10,3.9655
T00194,2021-06-19,2021-06-19 17:30:00+00:00,LONG,-3527.91,-25320.73,974679.27,1018599.28,43920.01,4.3118
T00195,2021-06-19,2021-06-19 18:00:00+00:00,LONG,-1749.07,-27069.81,972930.19,1018599.28,45669.09,4.4835
T00196,2021-06-19,2021-06-19 18:30:00+00:00,LONG,-1559.01,-28628.82,971371.18,1018599.28,47228.10,4.6366
T00197,2021-06-19,2021-06-19 19:30:00+00:00,SHORT,-4665.38,-33294.20,966705.80,1018599.28,51893.48,5.0946
T00198,2021-06-19,2021-06-19 20:00:00+00:00,LONG,-4735.80,-38030.00,961970.00,1018599.28,56629.28,5.5595
T00199,2021-06-19,2021-06-19 21:00:00+00:00,LONG,6755.66,-31274.34,968725.66,1018599.28,49873.62,4.8963
T00200,2021-06-19,2021-06-19 22:30:00+00:00,LONG,-2405.01,-33679.35,966320.65,1018599.28,52278.63,5.1324
T00201,2021-06-19,2021-06-19 23:30:00+00:00,SHORT,-1651.41,-35330.76,964669.24,1018599.28,53930.04,5.2945
T00202,2021-06-20,2021-06-20 00:30:00+00:00,SHORT,10132.73,-25198.04,974801.96,1018599.28,43797.32,4.2998
T00203,2021-06-20,2021-06-20 02:00:00+00:00,SHORT,-1746.86,-26944.90,973055.10,1018599.28,45544.18,4.4713
T00204,2021-06-20,2021-06-20 02:30:00+00:00,SHORT,7579.62,-19365.28,980634.72,1018599.28,37964.56,3.7271
T00205,2021-06-20,2021-06-20 03:30:00+00:00,SHORT,-2590.03,-21955.30,978044.70,1018599.28,40554.58,3.9814
T00206,2021-06-20,2021-06-20 04:00:00+00:00,SHORT,-1850.77,-23806.07,976193.93,1018599.28,42405.35,4.1631
T00207,2021-06-20,2021-06-20 05:00:00+00:00,SHORT,-2316.41,-26122.48,973877.52,1018599.28,44721.76,4.3905
T00208,2021-06-20,2021-06-20 05:30:00+00:00,LONG,-1339.53,-27462.01,972537.99,1018599.28,46061.29,4.5220
T00209,2021-06-20,2021-06-20 06:00:00+00:00,SHORT,-325.68,-27787.68,972212.32,1018599.28,46386.96,4.5540
T00210,2021-06-20,2021-06-20 06:30:00+00:00,SHORT,3070.67,-24717.01,975282.99,1018599.28,43316.29,4.2525
T00211,2021-06-20,2021-06-20 09:00:00+00:00,SHORT,9258.49,-15458.53,984541.47,1018599.28,34057.81,3.3436
T00212,2021-06-20,2021-06-20 19:30:00+00:00,SHORT,-4808.57,-20267.10,979732.90,1018599.28,38866.38,3.8157
T00213,2021-06-20,2021-06-20 20:00:00+00:00,LONG,-628.41,-20895.51,979104.49,1018599.28,39494.79,3.8774
T00214,2021-06-21,2021-06-21 03:00:00+00:00,LONG,-4533.85,-25429.36,974570.64,1018599.28,44028.64,4.3225
T00215,2021-06-21,2021-06-21 03:30:00+00:00,LONG,-2621.28,-28050.64,971949.36,1018599.28,46649.92,4.5798
T00216,2021-06-21,2021-06-21 04:00:00+00:00,SHORT,-1403.53,-29454.17,970545.83,1018599.28,48053.45,4.7176
T00217,2021-06-22,2021-06-22 06:00:00+00:00,LONG,-6411.67,-35865.84,964134.16,1018599.28,54465.12,5.3471
T00218,2021-06-22,2021-06-22 06:30:00+00:00,LONG,-1930.88,-37796.71,962203.29,1018599.28,56395.99,5.5366
