trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
126,2026-04-22T15:20:00-04:00,2026-04-22,commodities,NGF,-941.25,72546.64,-27453.36,-27.4534
127,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,CNXIT,250.15,72796.79,-27203.21,-27.2032
128,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,NSEBANK,292.9,73089.69,-26910.31,-26.9103
129,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,NSEI,41.65,73131.34,-26868.66,-26.8687
130,2026-04-23T15:20:00+05:30,2026-04-23,equity,HDFCBANK_NS,184.0,73315.34,-26684.66,-26.6847
131,2026-04-23T15:20:00+05:30,2026-04-23,equity,ICICIBANK_NS,88.6,73403.94,-26596.06,-26.5961
132,2026-04-23T15:20:00+05:30,2026-04-23,equity,ITC_NS,-237.65,73166.29,-26833.71,-26.8337
133,2026-04-23T15:20:00+05:30,2026-04-23,equity,RELIANCE_NS,321.7,73487.99,-26512.01,-26.512
134,2026-04-23T15:20:00+05:30,2026-04-23,equity,SBIN_NS,265.0,73752.99,-26247.01,-26.247
135,2026-04-23T15:20:00-04:00,2026-04-23,commodities,GCF,-312.9,73440.09,-26559.91,-26.5599
136,2026-04-23T15:20:00-04:00,2026-04-23,commodities,SIF,-100.6,73339.49,-26660.51,-26.6605
137,2026-04-24T15:20:00+05:30,2026-04-24,derivatives,CNXFMCG,-11.0,73328.49,-26671.51,-26.6715
138,2026-04-24T15:20:00+05:30,2026-04-24,derivatives,NSEI,751.0,74079.49,-25920.51,-25.9205
139,2026-04-24T15:20:00+05:30,2026-04-24,equity,BHARTIARTL_NS,-240.4,73839.09,-26160.91,-26.1609
140,2026-04-24T15:20:00+05:30,2026-04-24,equity,ICICIBANK_NS,645.5,74484.59,-25515.41,-25.5154
141,2026-04-24T15:20:00+05:30,2026-04-24,equity,ITC_NS,640.9,75125.49,-24874.51,-24.8745
142,2026-04-24T15:20:00+05:30,2026-04-24,equity,SBIN_NS,-201.29,74924.2,-25075.8,-25.0758
143,2026-04-24T15:20:00+05:30,2026-04-24,equity,TCS_NS,1702.7,76626.9,-23373.1,-23.3731
144,2026-04-24T15:20:00-04:00,2026-04-24,commodities,NGF,-836.78,75790.12,-24209.88,-24.2099
145,2026-04-27T15:20:00+05:30,2026-04-27,equity,KOTAKBANK_NS,-66.8,75723.32,-24276.68,-24.2767
146,2026-04-27T15:20:00+05:30,2026-04-27,equity,LT_NS,-352.4,75370.92,-24629.08,-24.6291
147,2026-04-27T15:20:00-04:00,2026-04-27,commodities,HGF,-890.26,74480.66,-25519.34,-25.5193
148,2026-04-27T15:20:00-04:00,2026-04-27,commodities,NGF,-892.2,73588.46,-26411.54,-26.4115
149,2026-04-28T13:35:00+05:30,2026-04-28,equity,HDFCBANK_NS,-1045.33,72543.13,-27456.87,-27.4569
150,2026-04-28T15:20:00+05:30,2026-04-28,derivatives,NSEBANK,319.4,72862.53,-27137.47,-27.1375
